C00629618|N|TER|P|201701230300133512|15C|IND|PEREZ, JOHN A|LOS ANGELES|CA|90017|PRINCIPAL|DOUBLE NICKEL ADVISORS|1032017|40|H6CA34245|SA01251735122|1141239|||2012520171368850783
C00468289|N|M17|P|201702039042410909|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3696502564|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|713416||PR2283904845065|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029354
C00516557|N|M18|P|201702039042410910|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2710008143|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|372017|959729||PR2283904845066|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029355
C00490358|N|M19|P|201702039042410911|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9637591752|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|82017|628551||PR2283904845067|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029356
C00258498|N|M20|P|201702039042410912|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9340759834|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|372017|734186||PR2283904845068|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029357
C00759657|N|M21|P|201702039042410913|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6017667690|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|232017|928800||PR2283904845069|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029358
C00177436|N|M22|P|201702039042410914|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1028920271|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|92017|775898||PR2283904845070|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029359
C00684488|N|M23|P|201702039042410915|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2299012265|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|152017|444069||PR2283904845071|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029360
C00490358|N|M24|P|201702039042410916|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7685530131|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|292017|423520||PR2283904845072|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029361
C00184757|N|M25|P|201702039042410917|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3835736450|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|444897||PR2283904845073|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029362
C00177436|N|M26|P|201702039042410918|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1813249374|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|302017|649434||PR2283904845074|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029363
C00177436|N|M27|P|201702039042410919|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1524193801|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|312017|927354||PR2283904845075|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029364
C00516557|N|M28|P|201702039042410920|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6186928747|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|272017|394912||PR2283904845076|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029365
C00516557|N|M29|P|201702039042410921|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3142092242|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|19390||PR2283904845077|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029366
C00159964|N|M30|P|201702039042410922|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6710286738|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|172017|48040||PR2283904845078|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029367
C00490358|N|M31|P|201702039042410923|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|667761975|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|249707||PR2283904845079|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029368
C00644445|N|M32|P|201702039042410924|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1911055010|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|192017|163623||PR2283904845080|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029369
C00129747|N|M33|P|201702039042410925|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6675928177|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|162017|978285||PR2283904845081|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029370
C00408612|N|M34|P|201702039042410926|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6188609748|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|112017|375426||PR2283904845082|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029371
C00759657|N|M35|P|201702039042410927|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3169873146|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|182017|24970||PR2283904845083|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029372
C00727373|N|M36|P|201702039042410928|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5495188005|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|322017|423323||PR2283904845084|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029373
C00629618|N|M37|P|201702039042410929|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2979728129|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|92017|797489||PR2283904845085|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029374
C00184757|N|M38|P|201702039042410930|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6742007574|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|870688||PR2283904845086|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029375
C00684488|N|M39|P|201702039042410931|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|464307440|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|122017|96078||PR2283904845087|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029376
C00490358|N|M40|P|201702039042410932|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|533581144|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|192017|839721||PR2283904845088|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029377
C00153061|N|M41|P|201702039042410933|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8809081860|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|325832||PR2283904845089|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029378
C00159964|N|M42|P|201702039042410934|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7535567148|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|172017|472591||PR2283904845090|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029379
C00307661|N|M43|P|201702039042410935|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3109824589|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|102017|381746||PR2283904845091|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029380
C00151609|N|M44|P|201702039042410936|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3095726391|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|212017|722064||PR2283904845092|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029381
C00727373|N|M45|P|201702039042410937|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4842368653|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|412017|771349||PR2283904845093|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029382
C00184757|N|M46|P|201702039042410938|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|914315741|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|252017|983685||PR2283904845094|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029383
C00408612|N|M47|P|201702039042410939|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5700622977|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|32017|126291||PR2283904845095|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029384
C00468289|N|M48|P|201702039042410940|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2384694377|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|122017|359061||PR2283904845096|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029385
C00151609|N|M49|P|201702039042410941|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9371764351|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|632171||PR2283904845097|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029386
C00307661|N|M50|P|201702039042410942|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3509339769|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|322017|452187||PR2283904845098|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029387
C00408612|N|M51|P|201702039042410943|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4129091319|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|232017|814508||PR2283904845099|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029388
C00151609|N|M52|P|201702039042410944|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|388417922|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|152017|373231||PR2283904845100|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029389
C00684488|N|M53|P|201702039042410945|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8456384398|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|781717||PR2283904845101|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029390
C00663469|N|M54|P|201702039042410946|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8553363866|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|491337||PR2283904845102|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029391
C00684488|N|M55|P|201702039042410947|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5854289239|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|401232||PR2283904845103|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029392
C00644445|N|M56|P|201702039042410948|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1785362343|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|733772||PR2283904845104|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029393
C00408612|N|M57|P|201702039042410949|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3879159828|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|212017|914950||PR2283904845105|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029394
C00759657|N|M58|P|201702039042410950|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5456978219|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|242017|276418||PR2283904845106|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029395
C00384818|N|M59|P|201702039042410951|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9972143391|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|112017|361663||PR2283904845107|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029396
C00516557|N|M60|P|201702039042410952|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5336521992|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|412017|72933||PR2283904845108|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029397
C00184757|N|M61|P|201702039042410953|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2173307484|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|182017|528261||PR2283904845109|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029398
C00177436|N|M62|P|201702039042410954|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9698851209|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|198910||PR2283904845110|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029399
C00408612|N|M63|P|201702039042410955|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4088345906|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|252017|393719||PR2283904845111|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029400
C00663469|N|M64|P|201702039042410956|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4528937658|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|92017|674523||PR2283904845112|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029401
C00153061|N|M65|P|201702039042410957|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8970346475|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|182017|540141||PR2283904845113|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029402
C00177436|N|M66|P|201702039042410958|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4647764633|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|615248||PR2283904845114|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029403
C00153061|N|M67|P|201702039042410959|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9262543433|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|397624||PR2283904845115|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029404
C00629618|N|M68|P|201702039042410960|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8331621763|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|202017|945554||PR2283904845116|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029405
C00384818|N|M69|P|201702039042410961|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2970526511|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|372017|563101||PR2283904845117|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029406
C00727373|N|M70|P|201702039042410962|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7060949815|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|262017|804405||PR2283904845118|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029407
C00258498|N|M71|P|201702039042410963|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2622676766|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|620658||PR2283904845119|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029408
C00460053|N|M72|P|201702039042410964|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2583074272|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|282017|343159||PR2283904845120|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029409
C00663469|N|M73|P|201702039042410965|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2947726335|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|212017|709375||PR2283904845121|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029410
C00684488|N|M74|P|201702039042410966|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9693113139|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|82017|144043||PR2283904845122|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029411
C00384818|N|M75|P|201702039042410967|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9640456358|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|242017|586402||PR2283904845123|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029412
C00490358|N|M76|P|201702039042410968|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8750043498|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|312017|608805||PR2283904845124|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029413
C00490358|N|M77|P|201702039042410969|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9375040754|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|362017|653782||PR2283904845125|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029414
C00408612|N|M78|P|201702039042410970|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7702041211|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|629218||PR2283904845126|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029415
C00129747|N|M79|P|201702039042410971|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4514679675|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|312017|628043||PR2283904845127|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029416
C00408612|N|M80|P|201702039042410972|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9580767201|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|382017|760447||PR2283904845128|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029417
C00184757|N|M81|P|201702039042410973|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|9493190253|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|372017|486643||PR2283904845129|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029418
C00159964|N|M82|P|201702039042410974|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|351443535|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|192017|190643||PR2283904845130|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029419
C00151609|N|M83|P|201702039042410975|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7625933488|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|82017|514225||PR2283904845131|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029420
C00153061|N|M84|P|201702039042410976|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|521154565|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|610672||PR2283904845132|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029421
C00759657|N|M85|P|201702039042410977|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|942956175|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|182017|668040||PR2283904845133|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029422
C00184757|N|M86|P|201702039042410978|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5888496331|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|322017|821271||PR2283904845134|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029423
C00177436|N|M87|P|201702039042410979|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|3607063348|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|122017|793643||PR2283904845135|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029424
C00258498|N|M88|P|201702039042410980|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1670984442|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|252017|614991||PR2283904845136|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029425
C00727373|N|M89|P|201702039042410981|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4444153138|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|92017|141707||PR2283904845137|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029426
C00727373|N|M90|P|201702039042410982|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|5413129558|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|290453||PR2283904845138|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029427
C00644445|N|M91|P|201702039042410983|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|2215670731|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|142017|91008||PR2283904845139|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029428
C00727373|N|M92|P|201702039042410984|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|7527767306|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|342017|609333||PR2283904845140|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029429
C00684488|N|M93|P|201702039042410985|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|427514066|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|242017|382701||PR2283904845141|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029430
C00177436|N|M94|P|201702039042410986|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|1057776763|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|362017|214212||PR2283904845142|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029431
C00644445|N|M95|P|201702039042410987|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|6900537949|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|332017|662222||PR2283904845143|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029432
C00177436|N|M96|P|201702039042410988|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|798965462|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|232017|469432||PR2283904845144|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029433
C00159964|N|M97|P|201702039042410989|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|8011908957|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|132017|837574||PR2283904845145|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029434
C00468289|N|M98|P|201702039042410990|15|IND|FOLEY, JOSEPH|FALMOUTH|ME|4861137173|UNUM|SVP, CORP MKTG & PUBLIC RELAT.|72017|458148||PR2283904845146|1147350||P/R DEDUCTION ($192.00 BI-WEEKLY)|4020820171370029435
